provider	dotPath	method	fullUrl	docsUrl
simplefunctions	api.agent.feed	GET	https://simplefunctions.dev/api/agent/feed/{topic}{query}	https://docs.simplefunctions.dev/api-reference/agent
simplefunctions	api.agent.inspect	GET	https://simplefunctions.dev/api/agent/inspect/{ticker}{query}	https://docs.simplefunctions.dev/api-reference/agent
simplefunctions	api.agent.world	GET	https://simplefunctions.dev/api/agent/world{query}	https://docs.simplefunctions.dev/api-reference/world-state
simplefunctions	api.agent.world.delta	GET	https://simplefunctions.dev/api/agent/world/delta{query}	https://docs.simplefunctions.dev/api-reference/world-state
simplefunctions	api.agent.world.feed	GET	https://simplefunctions.dev/api/agent/world/feed	https://docs.simplefunctions.dev/api-reference/world-state
simplefunctions	api.agent.world.path	GET	https://simplefunctions.dev/api/agent/world/{path}{query}	https://docs.simplefunctions.dev/api-reference/world-state
simplefunctions	api.alertDeliveries	GET	https://simplefunctions.dev/api/alert-deliveries{query}	https://docs.simplefunctions.dev/api-reference/watch-alerts
simplefunctions	api.alertRules	DELETE	https://simplefunctions.dev/api/alert-rules/{id}	https://docs.simplefunctions.dev/api-reference/watch-alerts
simplefunctions	api.alertRules	GET	https://simplefunctions.dev/api/alert-rules{query}	https://docs.simplefunctions.dev/api-reference/watch-alerts
simplefunctions	api.alertRules.create	POST	https://simplefunctions.dev/api/alert-rules	https://docs.simplefunctions.dev/api-reference/watch-alerts
simplefunctions	api.alertRules.retrieve	GET	https://simplefunctions.dev/api/alert-rules/{id}	https://docs.simplefunctions.dev/api-reference/watch-alerts
simplefunctions	api.alertRules.test	POST	https://simplefunctions.dev/api/alert-rules/{id}/test	https://docs.simplefunctions.dev/api-reference/watch-alerts
simplefunctions	api.alertRules.update	PATCH	https://simplefunctions.dev/api/alert-rules/{id}	https://docs.simplefunctions.dev/api-reference/watch-alerts
simplefunctions	api.auth.cli	POST	https://simplefunctions.dev/api/auth/cli	https://docs.simplefunctions.dev/api-reference/keys
simplefunctions	api.auth.cli.complete	POST	https://simplefunctions.dev/api/auth/cli/complete	https://docs.simplefunctions.dev/api-reference/keys
simplefunctions	api.auth.cli.poll	GET	https://simplefunctions.dev/api/auth/cli/poll{query}	https://docs.simplefunctions.dev/api-reference/keys
simplefunctions	api.calibration	GET	https://simplefunctions.dev/api/calibration{query}	https://docs.simplefunctions.dev/api-reference/index-regime
simplefunctions	api.changes	GET	https://simplefunctions.dev/api/changes{query}	https://docs.simplefunctions.dev/reference/daily-data
simplefunctions	api.contracts.tools	GET	https://simplefunctions.dev/api/contracts/tools	https://docs.simplefunctions.dev/api-reference/contract-tools
simplefunctions	api.dashboard.usage	GET	https://simplefunctions.dev/api/dashboard/usage{query}	https://docs.simplefunctions.dev/api-reference/account
simplefunctions	api.dashboard2.marketWatch.panels	DELETE	https://simplefunctions.dev/api/dashboard2/market-watch/panels/{id}	https://docs.simplefunctions.dev/api-reference/market-watch
simplefunctions	api.dashboard2.marketWatch.panels	POST	https://simplefunctions.dev/api/dashboard2/market-watch/panels/{id}/run	https://docs.simplefunctions.dev/api-reference/market-watch
simplefunctions	api.dashboard2.marketWatch.panels.create	POST	https://simplefunctions.dev/api/dashboard2/market-watch/panels	https://docs.simplefunctions.dev/api-reference/market-watch
